,soil_type,Seedling Stage,MOI,temp,humidity,result
70,Black Soil,Germination,71,29,72.0,0
71,Black Soil,Germination,72,30,70.0,0
72,Black Soil,Germination,73,31,68.0,0
73,Black Soil,Germination,74,32,66.0,0
74,Black Soil,Germination,75,33,64.0,0
75,Black Soil,Germination,76,34,62.0,0
76,Black Soil,Germination,77,35,60.0,0
77,Black Soil,Germination,78,36,58.0,0
78,Black Soil,Germination,79,37,56.0,0
79,Black Soil,Germination,80,38,54.0,0
80,Black Soil,Germination,81,39,52.0,0
81,Black Soil,Germination,82,40,50.0,0
82,Black Soil,Germination,83,41,48.0,0
83,Black Soil,Germination,84,42,46.0,0
84,Black Soil,Germination,85,43,44.0,0
85,Black Soil,Germination,86,44,42.0,0
86,Black Soil,Germination,87,45,40.0,0
87,Black Soil,Germination,88,46,38.0,0
88,Black Soil,Germination,89,25,80.0,0
89,Black Soil,Germination,90,26,78.0,0
90,Black Soil,Germination,91,27,76.0,0
91,Black Soil,Germination,92,28,74.0,0
92,Black Soil,Germination,93,29,72.0,0
93,Black Soil,Germination,94,30,70.0,0
94,Black Soil,Germination,95,31,68.0,0
95,Black Soil,Germination,96,32,66.0,0
96,Black Soil,Germination,97,33,64.0,0
97,Black Soil,Germination,98,34,62.0,0
98,Black Soil,Germination,99,35,60.0,0
99,Black Soil,Germination,100,36,58.0,0
100,Black Soil,Seedling Stage,1,37,56.0,1
101,Black Soil,Seedling Stage,2,38,54.0,1
102,Black Soil,Seedling Stage,3,39,52.0,1
103,Black Soil,Seedling Stage,4,40,50.0,1
104,Black Soil,Seedling Stage,5,41,48.0,1
105,Black Soil,Seedling Stage,6,42,46.0,1
106,Black Soil,Seedling Stage,7,43,44.0,1
107,Black Soil,Seedling Stage,8,44,42.0,1
108,Black Soil,Seedling Stage,9,45,40.0,1
109,Black Soil,Seedling Stage,10,46,38.0,1
110,Black Soil,Seedling Stage,11,25,80.0,1
111,Black Soil,Seedling Stage,12,26,77.0,1
112,Black Soil,Seedling Stage,13,27,74.0,1
113,Black Soil,Seedling Stage,14,28,71.0,1
114,Black Soil,Seedling Stage,15,29,68.0,1
115,Black Soil,Seedling Stage,16,30,65.0,1
116,Black Soil,Seedling Stage,17,31,62.0,1
117,Black Soil,Seedling Stage,18,32,59.0,1
118,Black Soil,Seedling Stage,19,33,56.0,1
119,Black Soil,Seedling Stage,20,34,53.0,1
120,Black Soil,Seedling Stage,21,35,50.0,1
121,Black Soil,Seedling Stage,22,36,47.0,1
122,Black Soil,Seedling Stage,23,37,44.0,1
123,Black Soil,Seedling Stage,24,38,41.0,1
124,Black Soil,Seedling Stage,25,39,38.0,1
125,Black Soil,Seedling Stage,26,40,35.0,1
126,Black Soil,Seedling Stage,27,41,32.0,1
127,Black Soil,Seedling Stage,28,42,29.0,1
128,Black Soil,Seedling Stage,29,43,26.0,1
129,Black Soil,Seedling Stage,30,44,23.0,1
130,Black Soil,Seedling Stage,31,45,20.0,1
131,Black Soil,Seedling Stage,32,46,17.0,1
132,Black Soil,Seedling Stage,33,25,80.0,1
133,Black Soil,Seedling Stage,34,26,77.0,1
134,Black Soil,Seedling Stage,35,27,74.0,1
135,Black Soil,Seedling Stage,36,28,71.0,1
136,Black Soil,Seedling Stage,37,29,68.0,1
137,Black Soil,Seedling Stage,38,30,65.0,1
138,Black Soil,Seedling Stage,39,31,62.0,1
150,Black Soil,Seedling Stage,51,43,26.0,0
151,Black Soil,Seedling Stage,52,44,23.0,0
152,Black Soil,Seedling Stage,53,45,20.0,0
153,Black Soil,Seedling Stage,54,46,17.0,0
154,Black Soil,Seedling Stage,55,25,80.0,0
155,Black Soil,Seedling Stage,56,26,77.0,0
156,Black Soil,Seedling Stage,57,27,74.0,0
157,Black Soil,Seedling Stage,58,28,71.0,0
158,Black Soil,Seedling Stage,59,29,68.0,0
159,Black Soil,Seedling Stage,60,30,65.0,0
160,Black Soil,Seedling Stage,61,31,62.0,0
161,Black Soil,Seedling Stage,62,32,59.0,0
162,Black Soil,Seedling Stage,63,33,56.0,0
163,Black Soil,Seedling Stage,64,34,53.0,0
164,Black Soil,Seedling Stage,65,35,50.0,0
165,Black Soil,Seedling Stage,66,36,47.0,0
166,Black Soil,Seedling Stage,67,37,44.0,0
167,Black Soil,Seedling Stage,68,38,41.0,0
168,Black Soil,Seedling Stage,69,39,38.0,0
169,Black Soil,Seedling Stage,70,40,35.0,0
170,Black Soil,Seedling Stage,71,41,32.0,0
171,Black Soil,Seedling Stage,72,42,29.0,0
172,Black Soil,Seedling Stage,73,43,26.0,0
173,Black Soil,Seedling Stage,74,44,23.0,0
174,Black Soil,Seedling Stage,75,45,20.0,0
175,Black Soil,Seedling Stage,76,46,17.0,0
176,Black Soil,Seedling Stage,77,25,80.0,0
177,Black Soil,Seedling Stage,78,26,77.3,0
178,Black Soil,Seedling Stage,79,27,74.6,0
179,Black Soil,Seedling Stage,80,28,71.9,0
180,Black Soil,Seedling Stage,81,29,69.2,0
181,Black Soil,Seedling Stage,82,30,66.5,0
182,Black Soil,Seedling Stage,83,31,63.8,0
183,Black Soil,Seedling Stage,84,32,61.1,0
184,Black Soil,Seedling Stage,85,33,58.4,0
185,Black Soil,Seedling Stage,86,34,55.7,0
186,Black Soil,Seedling Stage,87,35,53.0,0
187,Black Soil,Seedling Stage,88,36,50.3,0
188,Black Soil,Seedling Stage,89,37,47.6,0
189,Black Soil,Seedling Stage,90,38,44.9,0
190,Black Soil,Seedling Stage,91,39,42.2,0
191,Black Soil,Seedling Stage,92,40,39.5,0
192,Black Soil,Seedling Stage,93,41,36.8,0
193,Black Soil,Seedling Stage,94,42,34.1,0
194,Black Soil,Seedling Stage,95,43,31.4,0
195,Black Soil,Seedling Stage,96,44,28.7,0
196,Black Soil,Seedling Stage,97,45,26.0,0
197,Black Soil,Seedling Stage,98,46,23.3,0
198,Black Soil,Seedling Stage,99,25,80.0,0
199,Black Soil,Seedling Stage,100,26,77.0,0
200,Black Soil,Vegetative Growth / Root or Tuber Development,1,27,74.0,1
201,Black Soil,Vegetative Growth / Root or Tuber Development,2,28,71.0,1
202,Black Soil,Vegetative Growth / Root or Tuber Development,3,29,68.0,1
203,Black Soil,Vegetative Growth / Root or Tuber Development,4,30,65.0,1
204,Black Soil,Vegetative Growth / Root or Tuber Development,5,31,62.0,1
205,Black Soil,Vegetative Growth / Root or Tuber Development,6,32,59.0,1
206,Black Soil,Vegetative Growth / Root or Tuber Development,7,33,56.0,1
207,Black Soil,Vegetative Growth / Root or Tuber Development,8,34,53.0,1
208,Black Soil,Vegetative Growth / Root or Tuber Development,9,35,50.0,1
209,Black Soil,Vegetative Growth / Root or Tuber Development,10,36,47.0,1
210,Black Soil,Vegetative Growth / Root or Tuber Development,11,37,44.0,1
211,Black Soil,Vegetative Growth / Root or Tuber Development,12,38,41.0,1
212,Black Soil,Vegetative Growth / Root or Tuber Development,13,39,38.0,1
213,Black Soil,Vegetative Growth / Root or Tuber Development,14,40,35.0,1
214,Black Soil,Vegetative Growth / Root or Tuber Development,15,41,32.0,1
215,Black Soil,Vegetative Growth / Root or Tuber Development,16,42,29.0,1
216,Black Soil,Vegetative Growth / Root or Tuber Development,17,43,26.0,1
217,Black Soil,Vegetative Growth / Root or Tuber Development,18,44,23.0,1
218,Black Soil,Vegetative Growth / Root or Tuber Development,19,45,20.0,1
219,Black Soil,Vegetative Growth / Root or Tuber Development,20,46,17.0,1
220,Black Soil,Vegetative Growth / Root or Tuber Development,21,25,80.0,1
221,Black Soil,Vegetative Growth / Root or Tuber Development,22,26,77.5,1
222,Black Soil,Vegetative Growth / Root or Tuber Development,23,27,75.0,1
223,Black Soil,Vegetative Growth / Root or Tuber Development,24,28,72.5,1
224,Black Soil,Vegetative Growth / Root or Tuber Development,25,29,70.0,1
225,Black Soil,Vegetative Growth / Root or Tuber Development,26,30,67.5,1
226,Black Soil,Vegetative Growth / Root or Tuber Development,27,31,65.0,1
227,Black Soil,Vegetative Growth / Root or Tuber Development,28,32,62.5,1
228,Black Soil,Vegetative Growth / Root or Tuber Development,29,33,60.0,1
229,Black Soil,Vegetative Growth / Root or Tuber Development,30,34,57.5,1
230,Black Soil,Vegetative Growth / Root or Tuber Development,31,35,55.0,1
231,Black Soil,Vegetative Growth / Root or Tuber Development,32,36,52.5,1
232,Black Soil,Vegetative Growth / Root or Tuber Development,33,37,50.0,1
233,Black Soil,Vegetative Growth / Root or Tuber Development,34,38,47.5,1
234,Black Soil,Vegetative Growth / Root or Tuber Development,35,39,45.0,1
235,Black Soil,Vegetative Growth / Root or Tuber Development,36,40,42.5,1
236,Black Soil,Vegetative Growth / Root or Tuber Development,37,41,40.0,1
237,Black Soil,Vegetative Growth / Root or Tuber Development,38,42,37.5,1
238,Black Soil,Vegetative Growth / Root or Tuber Development,39,43,35.0,1
239,Black Soil,Vegetative Growth / Root or Tuber Development,40,44,32.5,1
240,Black Soil,Vegetative Growth / Root or Tuber Development,41,45,30.0,1
241,Black Soil,Vegetative Growth / Root or Tuber Development,42,46,27.5,1
242,Black Soil,Vegetative Growth / Root or Tuber Development,43,25,80.0,1
243,Black Soil,Vegetative Growth / Root or Tuber Development,44,26,77.3,1
244,Black Soil,Vegetative Growth / Root or Tuber Development,45,27,74.6,1
245,Black Soil,Vegetative Growth / Root or Tuber Development,46,28,71.9,1
246,Black Soil,Vegetative Growth / Root or Tuber Development,47,29,69.2,1
247,Black Soil,Vegetative Growth / Root or Tuber Development,48,30,66.5,1
248,Black Soil,Vegetative Growth / Root or Tuber Development,49,31,63.8,1
260,Black Soil,Vegetative Growth / Root or Tuber Development,61,43,31.4,0
261,Black Soil,Vegetative Growth / Root or Tuber Development,62,44,28.7,0
262,Black Soil,Vegetative Growth / Root or Tuber Development,63,45,26.0,0
263,Black Soil,Vegetative Growth / Root or Tuber Development,64,46,23.3,0
264,Black Soil,Vegetative Growth / Root or Tuber Development,65,25,80.0,0
265,Black Soil,Vegetative Growth / Root or Tuber Development,66,26,77.0,0
266,Black Soil,Vegetative Growth / Root or Tuber Development,67,27,74.0,0
267,Black Soil,Vegetative Growth / Root or Tuber Development,68,28,71.0,0
268,Black Soil,Vegetative Growth / Root or Tuber Development,69,29,68.0,0
269,Black Soil,Vegetative Growth / Root or Tuber Development,70,30,65.0,0
270,Black Soil,Vegetative Growth / Root or Tuber Development,71,31,62.0,0
271,Black Soil,Vegetative Growth / Root or Tuber Development,72,32,59.0,0
272,Black Soil,Vegetative Growth / Root or Tuber Development,73,33,56.0,0
273,Black Soil,Vegetative Growth / Root or Tuber Development,74,34,53.0,0
274,Black Soil,Vegetative Growth / Root or Tuber Development,75,35,50.0,0
275,Black Soil,Vegetative Growth / Root or Tuber Development,76,36,47.0,0
276,Black Soil,Vegetative Growth / Root or Tuber Development,77,37,44.0,0
277,Black Soil,Vegetative Growth / Root or Tuber Development,78,38,41.0,0
278,Black Soil,Vegetative Growth / Root or Tuber Development,79,39,38.0,0
279,Black Soil,Vegetative Growth / Root or Tuber Development,80,40,35.0,0
280,Black Soil,Vegetative Growth / Root or Tuber Development,81,41,32.0,0
281,Black Soil,Vegetative Growth / Root or Tuber Development,82,42,29.0,0
282,Black Soil,Vegetative Growth / Root or Tuber Development,83,43,26.0,0
283,Black Soil,Vegetative Growth / Root or Tuber Development,84,44,23.0,0
284,Black Soil,Vegetative Growth / Root or Tuber Development,85,45,20.0,0
285,Black Soil,Vegetative Growth / Root or Tuber Development,86,46,17.0,0
286,Black Soil,Vegetative Growth / Root or Tuber Development,87,25,80.0,0
287,Black Soil,Vegetative Growth / Root or Tuber Development,88,26,77.0,0
288,Black Soil,Vegetative Growth / Root or Tuber Development,89,27,74.0,0
289,Black Soil,Vegetative Growth / Root or Tuber Development,90,28,71.0,0
290,Black Soil,Vegetative Growth / Root or Tuber Development,91,29,68.0,0
291,Black Soil,Vegetative Growth / Root or Tuber Development,92,30,65.0,0
292,Black Soil,Vegetative Growth / Root or Tuber Development,93,31,62.0,0
293,Black Soil,Vegetative Growth / Root or Tuber Development,94,32,59.0,0
294,Black Soil,Vegetative Growth / Root or Tuber Development,95,33,56.0,0
295,Black Soil,Vegetative Growth / Root or Tuber Development,96,34,53.0,0
296,Black Soil,Vegetative Growth / Root or Tuber Development,97,35,50.0,0
297,Black Soil,Vegetative Growth / Root or Tuber Development,98,36,47.0,0
298,Black Soil,Vegetative Growth / Root or Tuber Development,99,37,44.0,0
299,Black Soil,Vegetative Growth / Root or Tuber Development,100,38,41.0,0
300,Black Soil,Flowering,1,39,38.0,1
301,Black Soil,Flowering,2,40,35.0,1
302,Black Soil,Flowering,3,41,32.0,1
303,Black Soil,Flowering,4,42,29.0,1
304,Black Soil,Flowering,5,43,26.0,1
305,Black Soil,Flowering,6,44,23.0,1
306,Black Soil,Flowering,7,45,20.0,1
307,Black Soil,Flowering,8,46,17.0,1
308,Black Soil,Flowering,9,25,80.0,1
309,Black Soil,Flowering,10,26,77.0,1
310,Black Soil,Flowering,11,27,74.0,1
311,Black Soil,Flowering,12,28,71.0,1
312,Black Soil,Flowering,13,29,68.0,1
313,Black Soil,Flowering,14,30,65.0,1
314,Black Soil,Flowering,15,31,62.0,1
315,Black Soil,Flowering,16,32,59.0,1
316,Black Soil,Flowering,17,33,56.0,1
317,Black Soil,Flowering,18,34,53.0,1
318,Black Soil,Flowering,19,35,50.0,1
319,Black Soil,Flowering,20,36,47.0,1
320,Black Soil,Flowering,21,37,44.0,1
321,Black Soil,Flowering,22,38,41.0,1
322,Black Soil,Flowering,23,39,38.0,1
323,Black Soil,Flowering,24,40,35.0,1
324,Black Soil,Flowering,25,41,32.0,1
325,Black Soil,Flowering,26,42,29.0,1
326,Black Soil,Flowering,27,43,26.0,1
327,Black Soil,Flowering,28,44,23.0,1
328,Black Soil,Flowering,29,45,20.0,1
329,Black Soil,Flowering,30,46,17.0,1
330,Black Soil,Flowering,31,25,80.0,1
331,Black Soil,Flowering,32,26,77.0,1
332,Black Soil,Flowering,33,27,74.0,1
333,Black Soil,Flowering,34,28,71.0,1
334,Black Soil,Flowering,35,29,68.0,1
335,Black Soil,Flowering,36,30,65.0,1
336,Black Soil,Flowering,37,31,62.0,1
337,Black Soil,Flowering,38,32,59.0,1
338,Black Soil,Flowering,39,33,56.0,1
339,Black Soil,Flowering,40,34,53.0,1
340,Black Soil,Flowering,41,35,50.0,1
341,Black Soil,Flowering,42,36,47.0,1
342,Black Soil,Flowering,43,37,44.0,1
343,Black Soil,Flowering,44,38,41.0,1
344,Black Soil,Flowering,45,39,38.0,1
345,Black Soil,Flowering,46,40,35.0,1
346,Black Soil,Flowering,47,41,32.0,1
347,Black Soil,Flowering,48,42,29.0,1
348,Black Soil,Flowering,49,43,26.0,1
349,Black Soil,Flowering,50,44,23.0,1
350,Black Soil,Flowering,51,45,20.0,1
351,Black Soil,Flowering,52,46,17.0,1
352,Black Soil,Flowering,53,25,80.0,1
353,Black Soil,Flowering,54,26,77.0,1
354,Black Soil,Flowering,55,27,74.0,1
355,Black Soil,Flowering,56,28,71.0,1
356,Black Soil,Flowering,57,29,68.0,1
357,Black Soil,Flowering,58,30,65.0,1
358,Black Soil,Flowering,59,31,62.0,1
370,Black Soil,Flowering,71,43,26.0,0
371,Black Soil,Flowering,72,44,23.0,0
372,Black Soil,Flowering,73,45,20.0,0
373,Black Soil,Flowering,74,46,17.0,0
374,Black Soil,Flowering,75,25,80.0,0
375,Black Soil,Flowering,76,26,77.0,0
376,Black Soil,Flowering,77,27,74.0,0
377,Black Soil,Flowering,78,28,71.0,0
378,Black Soil,Flowering,79,29,68.0,0
379,Black Soil,Flowering,80,30,65.0,0
380,Black Soil,Flowering,81,31,62.0,0
381,Black Soil,Flowering,82,32,59.0,0
382,Black Soil,Flowering,83,33,56.0,0
383,Black Soil,Flowering,84,34,53.0,0
384,Black Soil,Flowering,85,35,50.0,0
385,Black Soil,Flowering,86,36,47.0,0
386,Black Soil,Flowering,87,37,44.0,0
387,Black Soil,Flowering,88,38,41.0,0
388,Black Soil,Flowering,89,39,38.0,0
389,Black Soil,Flowering,90,40,35.0,0
390,Black Soil,Flowering,91,41,32.0,0
391,Black Soil,Flowering,92,42,29.0,0
392,Black Soil,Flowering,93,43,26.0,0
393,Black Soil,Flowering,94,44,23.0,0
394,Black Soil,Flowering,95,45,20.0,0
395,Black Soil,Flowering,96,46,17.0,0
396,Black Soil,Flowering,97,25,81.0,0
397,Black Soil,Flowering,98,26,79.0,0
398,Black Soil,Flowering,99,27,76.0,0
399,Black Soil,Flowering,100,28,73.0,0
400,Black Soil,Pollination,1,29,70.0,1
401,Black Soil,Pollination,2,30,67.0,1
402,Black Soil,Pollination,3,31,64.0,1
403,Black Soil,Pollination,4,32,61.0,1
404,Black Soil,Pollination,5,33,58.0,1
405,Black Soil,Pollination,6,34,55.0,1
406,Black Soil,Pollination,7,35,52.0,1
407,Black Soil,Pollination,8,36,49.0,1
408,Black Soil,Pollination,9,37,46.0,1
409,Black Soil,Pollination,10,38,43.0,1
410,Black Soil,Pollination,11,39,40.0,1
411,Black Soil,Pollination,12,40,37.0,1
412,Black Soil,Pollination,13,41,34.0,1
413,Black Soil,Pollination,14,42,31.0,1
414,Black Soil,Pollination,15,43,28.0,1
415,Black Soil,Pollination,16,44,25.0,1
416,Black Soil,Pollination,17,45,22.0,1
417,Black Soil,Pollination,18,46,19.0,1
418,Black Soil,Pollination,19,25,80.0,1
419,Black Soil,Pollination,20,26,77.0,1
420,Black Soil,Pollination,21,27,74.0,1
421,Black Soil,Pollination,22,28,71.0,1
422,Black Soil,Pollination,23,29,68.0,1
423,Black Soil,Pollination,24,30,65.0,1
424,Black Soil,Pollination,25,31,62.0,1
425,Black Soil,Pollination,26,32,59.0,1
426,Black Soil,Pollination,27,33,56.0,1
427,Black Soil,Pollination,28,34,53.0,1
428,Black Soil,Pollination,29,35,50.0,1
429,Black Soil,Pollination,30,36,47.0,1
430,Black Soil,Pollination,31,37,44.0,1
431,Black Soil,Pollination,32,38,41.0,1
432,Black Soil,Pollination,33,39,38.0,1
433,Black Soil,Pollination,34,40,35.0,1
434,Black Soil,Pollination,35,41,32.0,1
435,Black Soil,Pollination,36,42,29.0,1
436,Black Soil,Pollination,37,43,26.0,1
437,Black Soil,Pollination,38,44,23.0,1
438,Black Soil,Pollination,39,45,20.0,1
439,Black Soil,Pollination,40,46,17.0,1
440,Black Soil,Pollination,41,25,80.0,1
441,Black Soil,Pollination,42,26,77.0,1
442,Black Soil,Pollination,43,27,74.0,1
443,Black Soil,Pollination,44,28,71.0,1
444,Black Soil,Pollination,45,29,68.0,1
445,Black Soil,Pollination,46,30,65.0,1
446,Black Soil,Pollination,47,31,62.0,1
447,Black Soil,Pollination,48,32,59.0,1
448,Black Soil,Pollination,49,33,56.0,1
449,Black Soil,Pollination,50,34,53.0,1
450,Black Soil,Pollination,51,35,50.0,1
451,Black Soil,Pollination,52,36,47.0,1
452,Black Soil,Pollination,53,37,44.0,1
453,Black Soil,Pollination,54,38,41.0,1
454,Black Soil,Pollination,55,39,38.0,1
455,Black Soil,Pollination,56,40,35.0,1
456,Black Soil,Pollination,57,41,32.0,1
457,Black Soil,Pollination,58,42,29.0,1
458,Black Soil,Pollination,59,43,26.0,1
459,Black Soil,Pollination,60,44,23.0,1
460,Black Soil,Pollination,61,45,20.0,1
461,Black Soil,Pollination,62,46,17.0,1
462,Black Soil,Pollination,63,25,80.0,1
463,Black Soil,Pollination,64,26,77.0,1
464,Black Soil,Pollination,65,27,74.0,1
465,Black Soil,Pollination,66,28,71.0,1
466,Black Soil,Pollination,67,29,68.0,1
467,Black Soil,Pollination,68,30,65.0,1
468,Black Soil,Pollination,69,31,62.0,1
480,Black Soil,Pollination,81,43,26.0,0
481,Black Soil,Pollination,82,44,23.0,0
482,Black Soil,Pollination,83,45,20.0,0
483,Black Soil,Pollination,84,46,17.0,0
484,Black Soil,Pollination,85,25,80.0,0
485,Black Soil,Pollination,86,26,77.0,0
486,Black Soil,Pollination,87,27,74.0,0
487,Black Soil,Pollination,88,28,71.0,0
488,Black Soil,Pollination,89,29,68.0,0
489,Black Soil,Pollination,90,30,65.0,0
490,Black Soil,Pollination,91,31,62.0,0
491,Black Soil,Pollination,92,32,59.0,0
492,Black Soil,Pollination,93,33,56.0,0
493,Black Soil,Pollination,94,34,53.0,0
494,Black Soil,Pollination,95,35,50.0,0
495,Black Soil,Pollination,96,36,47.0,0
496,Black Soil,Pollination,97,37,44.0,0
497,Black Soil,Pollination,98,38,41.0,0
498,Black Soil,Pollination,99,39,38.0,0
499,Black Soil,Pollination,100,40,35.0,0
500,Black Soil,Fruit/Grain/Bulb Formation,1,41,32.0,1
501,Black Soil,Fruit/Grain/Bulb Formation,2,42,29.0,1
502,Black Soil,Fruit/Grain/Bulb Formation,3,43,26.0,1
503,Black Soil,Fruit/Grain/Bulb Formation,4,44,23.0,1
504,Black Soil,Fruit/Grain/Bulb Formation,5,45,20.0,1
505,Black Soil,Fruit/Grain/Bulb Formation,6,46,17.0,1
506,Black Soil,Fruit/Grain/Bulb Formation,7,25,80.0,1
507,Black Soil,Fruit/Grain/Bulb Formation,8,26,77.0,1
508,Black Soil,Fruit/Grain/Bulb Formation,9,27,74.0,1
509,Black Soil,Fruit/Grain/Bulb Formation,10,28,71.0,1
510,Black Soil,Fruit/Grain/Bulb Formation,11,29,68.0,1
511,Black Soil,Fruit/Grain/Bulb Formation,12,30,65.0,1
512,Black Soil,Fruit/Grain/Bulb Formation,13,31,62.0,1
513,Black Soil,Fruit/Grain/Bulb Formation,14,32,59.0,1
514,Black Soil,Fruit/Grain/Bulb Formation,15,33,56.0,1
515,Black Soil,Fruit/Grain/Bulb Formation,16,34,53.0,1
516,Black Soil,Fruit/Grain/Bulb Formation,17,35,50.0,1
517,Black Soil,Fruit/Grain/Bulb Formation,18,36,47.0,1
518,Black Soil,Fruit/Grain/Bulb Formation,19,37,44.0,1
519,Black Soil,Fruit/Grain/Bulb Formation,20,38,41.0,1
520,Black Soil,Fruit/Grain/Bulb Formation,21,39,38.0,1
521,Black Soil,Fruit/Grain/Bulb Formation,22,40,35.0,1
522,Black Soil,Fruit/Grain/Bulb Formation,23,41,32.0,1
523,Black Soil,Fruit/Grain/Bulb Formation,24,42,29.0,1
524,Black Soil,Fruit/Grain/Bulb Formation,25,43,26.0,1
525,Black Soil,Fruit/Grain/Bulb Formation,26,44,23.0,1
526,Black Soil,Fruit/Grain/Bulb Formation,27,45,20.0,1
527,Black Soil,Fruit/Grain/Bulb Formation,28,46,17.0,1
528,Black Soil,Fruit/Grain/Bulb Formation,29,25,80.0,1
529,Black Soil,Fruit/Grain/Bulb Formation,30,26,77.0,1
530,Black Soil,Fruit/Grain/Bulb Formation,31,27,74.0,1
531,Black Soil,Fruit/Grain/Bulb Formation,32,28,71.0,1
532,Black Soil,Fruit/Grain/Bulb Formation,33,29,68.0,1
533,Black Soil,Fruit/Grain/Bulb Formation,34,30,65.0,1
534,Black Soil,Fruit/Grain/Bulb Formation,35,31,62.0,1
535,Black Soil,Fruit/Grain/Bulb Formation,36,32,59.0,1
536,Black Soil,Fruit/Grain/Bulb Formation,37,33,56.0,1
537,Black Soil,Fruit/Grain/Bulb Formation,38,34,53.0,1
538,Black Soil,Fruit/Grain/Bulb Formation,39,35,50.0,1
539,Black Soil,Fruit/Grain/Bulb Formation,40,36,47.0,1
540,Black Soil,Fruit/Grain/Bulb Formation,41,37,44.0,1
541,Black Soil,Fruit/Grain/Bulb Formation,42,38,41.0,1
542,Black Soil,Fruit/Grain/Bulb Formation,43,39,38.0,1
543,Black Soil,Fruit/Grain/Bulb Formation,44,40,35.0,1
544,Black Soil,Fruit/Grain/Bulb Formation,45,41,32.0,1
545,Black Soil,Fruit/Grain/Bulb Formation,46,42,29.0,1
546,Black Soil,Fruit/Grain/Bulb Formation,47,43,26.0,1
547,Black Soil,Fruit/Grain/Bulb Formation,48,44,23.0,1
548,Black Soil,Fruit/Grain/Bulb Formation,49,45,20.0,1
549,Black Soil,Fruit/Grain/Bulb Formation,50,46,17.0,1
550,Black Soil,Fruit/Grain/Bulb Formation,51,25,80.0,1
551,Black Soil,Fruit/Grain/Bulb Formation,52,26,77.0,1
552,Black Soil,Fruit/Grain/Bulb Formation,53,27,74.0,1
553,Black Soil,Fruit/Grain/Bulb Formation,54,28,71.0,1
554,Black Soil,Fruit/Grain/Bulb Formation,55,29,68.0,1
555,Black Soil,Fruit/Grain/Bulb Formation,56,30,65.0,1
556,Black Soil,Fruit/Grain/Bulb Formation,57,31,62.0,1
557,Black Soil,Fruit/Grain/Bulb Formation,58,32,59.0,1
558,Black Soil,Fruit/Grain/Bulb Formation,59,33,56.0,1
559,Black Soil,Fruit/Grain/Bulb Formation,60,34,53.0,1
560,Black Soil,Fruit/Grain/Bulb Formation,61,35,50.0,1
561,Black Soil,Fruit/Grain/Bulb Formation,62,36,47.0,1
562,Black Soil,Fruit/Grain/Bulb Formation,63,37,44.0,1
563,Black Soil,Fruit/Grain/Bulb Formation,64,38,41.0,1
